windspeed_ms,power_kW,
3.223295389,79.45378199,
3.497495258,119.9267556,
3.771695128,160.3997291,
4.045894997,197.4999549,
4.330065771,269.8116676,
4.594294736,324.9898216,
4.868494606,385.6992819,
5.142694475,463.2724813,
5.416894345,552.3130231,
5.691094214,642.702664,
5.965294084,733.7668545,
6.239493953,850.4639283,
6.513693823,974.5810472,
6.787893692,1099.372716,
7.062093562,1226.862582,
7.336293432,1378.636233,
7.62087966,1520.460278,
7.843741242,1679.196244,
8.096574888,1852.507299,
8.308456605,2012.038269,
8.532801953,2176.928162,
8.707292779,2292.515976,
8.956565388,2503.410148,
9.155983475,2674.542301,
9.330474301,2835.663281,
9.504965127,2996.784262,
9.679455953,3157.905242,
9.853946779,3321.146236,
10.0284376,3485.447236,
10.22162388,3669.490855,
10.34180888,3812.989229,
10.43225923,3954.60609,
10.6391555,4142.827903,
10.78871906,4307.30557,
10.93828263,4491.570025,
11.07538256,4660.994389,
11.25922111,4801.975247,
11.42436421,4962.124555,
