hr,windspeed_ms,price_dollarsPerMWh,emissions_tonCO2PerMWh
202,10.47,22.318724,0.42
203,12.0875,22.515471,0.42
204,12.881667,23.101526,0.42
205,12.098333,23.04651,0.42
206,11.883333,23.950382,0.42
207,13.158333,24.150503,0.42
208,12.543333,24.130131,0.42
209,11.01,78.119069,0.42
210,10.368333,34.675886,0.42
211,8.293333,30.92012,0.42
212,7.2,32.831758,0.42
213,6.255,29.556249,0.42
214,6.841667,27.013164,0.42
215,7.198333,24.843567,0.42
216,7.665,22.595631,0.42
217,7.67,23.501897,0.42
218,7.573333,23.239768,0.42
219,6.856667,22.939123,0.42
220,8.19,23.459361,0.42
221,7.06,25.871161,0.42
222,7.263333,31.27578,0.42
223,7.385,31.921369,0.42
224,7.536667,55.422814,0.42
225,8.158333,48.588288,0.42
226,7.563333,30.664499,0.42
227,7.703333,41.940411,0.42
228,8.978333,34.543821,0.42
229,9.088333,28.901294,0.42
230,9.105,28.730205,0.42
231,8.521667,28.142531,0.42
232,7.378333,28.757483,0.42
233,7.176667,27.894854,0.42
234,6.925,35.783277,0.42
235,6.801667,33.346186,0.42
236,6.985,37.252677,0.42
237,5.77,34.617773,0.42
238,5.121667,33.160398,0.42
239,4.591667,34.843876,0.42
240,2.69,29.72545,0.42
241,2.491667,31.875691,0.42
242,2.851667,30.723093,0.42
243,1.883333,32.060748,0.42
244,1.296667,34.036949,0.42
245,1.26,33.15697,0.42
246,1.39,34.102654,0.42
247,1.68,48.498145,0.42
248,1.458333,64.45364,0.42
249,1.331667,39.798009,0.42
250,1.303333,32.582554,0.42
251,2.293333,30.267329,0.42
252,2.28,28.7594,0.42
253,2.376667,27.094915,0.42
254,4.015,27.937603,0.42
255,3.465,26.438127,0.42
256,3.27,25.618898,0.42
257,3.19,26.960885,0.42
258,2.465,32.828976,0.42
259,1.465,31.099352,0.42
260,1.385,29.590105,0.42
261,2.01,29.749867,0.42
262,2.526667,28.431993,0.42
263,1.446667,29.119739,0.42
264,1.12,26.517022,0.42
265,1.716667,26.330196,0.42
266,2.978333,24.977682,0.42
267,3.436667,26.385012,0.42
268,4.453333,25.790149,0.42
269,5.868333,25.623054,0.42
270,5.571667,25.478179,0.42
271,5.798333,27.149734,0.42
272,5.735,28.605224,0.42
273,6.125,30.066506,0.42
274,5.042,29.268806,0.42
275,5.285,26.443216,0.42
276,4.726667,26.115898,0.42
277,4.41,24.744524,0.42
278,4.706667,24.598745,0.42
279,6.696667,25.061642,0.42
280,9.061667,25.429553,0.42
281,9.613333,25.811249,0.42
282,12.128333,29.592805,0.42
283,13.696667,28.748257,0.42
284,11.938333,27.17519,0.42
285,8.258333,26.685661,0.42
286,13.561667,25.824867,0.42
287,18.601667,25.534406,0.42
288,16.59,24.365148,0.42
289,11.21,24.004636,0.42
290,6.366,23.095265,0.42
291,8.125,22.726797,0.42
292,7.975,22.420388,0.42
293,8.162,22.616505,0.42
294,10.613333,22.637103,0.42
295,11.798333,23.780608,0.42
296,13.363333,23.054746,0.42
297,14.071667,25.570463,0.42
298,15.101667,26.662848,0.42
299,15.211667,26.492992,0.42
300,15.165,27.204123,0.42
301,15.236667,27.859188,0.42
302,15.48,27.291096,0.42
303,15.361667,27.200112,0.42
304,14.62,27.393395,0.42
305,14.118333,29.647347,0.42
306,14.233333,50.9724,0.42
307,14.883333,48.268563,0.42
308,15.59,33.058999,0.42
309,15.698333,31.469464,0.42
310,16.105,29.014786,0.42
311,16.55,26.865697,0.42
312,16.73,25.849153,0.42
313,16.36,24.85508,0.42
314,16.42,25.538781,0.42
315,16.228333,25.005214,0.42
316,16.028333,25.128743,0.42
317,15.371667,27.114776,0.42
318,15.413333,28.207387,0.42
319,14.935,50.55584,0.42
320,14.675,41.145057,0.42
321,12.626667,35.826387,0.42
322,12.776667,36.219891,0.42
323,13.476667,31.482106,0.42
324,12.786667,34.029922,0.42
325,14.203333,29.305888,0.42
326,15.523333,28.000797,0.42
327,16.47,27.347934,0.42
328,15.96,27.151459,0.42
329,13.815,28.509074,0.42
330,13.446667,43.071343,0.42
331,13.216667,44.890478,0.42
332,14.156667,38.120696,0.42
333,14.465,32.947617,0.42
334,14.356667,28.674307,0.42
335,13.965,27.563306,0.42
336,13.495,25.947931,0.42
337,12.673333,27.339707,0.42
338,11.841667,27.580618,0.42
339,11.421667,27.432679,0.42
340,11.52,26.97742,0.42
341,10.491667,27.377292,0.42
342,10.028333,29.362905,0.42
343,9.576667,56.121183,0.42
344,9.128333,55.381653,0.42
345,9.063333,32.275643,0.42
346,8.045,27.393708,0.42
347,8.025,30.500516,0.42
348,7.47,29.294709,0.42
349,6.991667,27.424255,0.42
350,6.928333,26.693326,0.42
351,5.99,25.995535,0.42
352,5.221667,25.853537,0.42
353,3.626667,27.353841,0.42
354,3.18,32.06484,0.42
355,4.003333,35.331577,0.42
356,3.895,32.650165,0.42
357,4.838333,32.528095,0.42
358,3.96,31.558604,0.42
359,3.123333,28.646799,0.42
360,4.518333,27.347867,0.42
361,5.326667,29.629923,0.42
362,5.125,31.934743,0.42
363,5.41,31.859989,0.42
364,5.486667,29.72986,0.42
365,5.76,32.725456,0.42
366,7.366667,29.456552,0.42
367,7.951667,118.139056,0.42
368,7.105,117.498677,0.42
369,7.268333,41.066553,0.42
370,6.588333,33.253849,0.42
371,6.711667,36.311654,0.42
372,6.751667,31.964538,0.42
373,6.933333,29.629789,0.42
374,7.551667,29.004194,0.42
375,6.266667,28.795655,0.42
376,7.291667,28.839915,0.42
377,6.763333,28.440095,0.42
378,6.755,42.35081,0.42
379,5.908333,35.913832,0.42
380,6.196667,34.442512,0.42
381,6.083333,33.890276,0.42
382,5.686667,29.182208,0.42
383,4.801667,26.268763,0.42
384,4.683333,23.922616,0.42
385,5.361667,25.044919,0.42
386,7.691667,24.921931,0.42
387,10.73,24.945535,0.42
388,12.868333,25.400794,0.42
389,12.4,26.097178,0.42
390,12.538333,25.687408,0.42
391,11.603333,28.765794,0.42
392,10.805,29.699972,0.42
393,9.418333,52.141404,0.42
394,9.143333,32.404071,0.42
395,9.275,34.382076,0.42
396,9.615,35.821193,0.42
397,8.616667,38.741065,0.42
398,8.518333,35.5021,0.42
399,6.998333,35.970581,0.42
400,5.48,31.434071,0.42
401,5.276667,37.360897,0.42
402,3.91,35.061455,0.42
403,3.086667,54.738922,0.42
404,3.363333,33.364994,0.42
405,3.616667,31.243617,0.42
406,4.708333,29.206018,0.42
407,6.56,27.948634,0.42
408,7.245,27.324484,0.42
409,8.283333,29.328098,0.42
410,8.725,26.10988,0.42
411,8.835,26.858506,0.42
412,9.368333,26.587499,0.42
413,11.296667,27.623596,0.42
414,13.815,27.001889,0.42
415,15.656667,27.31097,0.42
416,16.931667,32.13434,0.42
417,17.4,35.841055,0.42
418,18.201667,29.85728,0.42
419,18.551667,29.020619,0.42
420,18.138333,30.42475,0.42
421,16.785,28.110477,0.42
422,17.206667,26.703611,0.42
423,19.226667,25.251342,0.42
424,18.968333,22.576728,0.42
425,19.146667,24.242376,0.42
426,15.753333,26.104647,0.42
427,12.303333,26.308667,0.42
428,6.343333,25.766098,0.42
429,11.085,25.657182,0.42
430,12.746667,24.796271,0.42
431,12.121667,23.596189,0.42
432,11.746667,22.328989,0.42
433,10.295,22.984227,0.42
434,10.681667,22.061639,0.42
435,8.596667,21.04148,0.42
436,5.618333,20.47422,0.42
437,5.603333,19.410302,0.42
438,4.386667,19.514348,0.42
439,4.878333,20.43013,0.42
440,6.403333,22.495555,0.42
441,7.213333,22.731444,0.42
442,7.95,23.749958,0.42
443,7.425,27.036202,0.42
444,4.831667,24.625833,0.42
445,4.68,24.262438,0.42
446,5.345,23.10417,0.42
447,5.683333,21.677252,0.42
448,6.363333,23.114405,0.42
449,5.411667,23.191866,0.42
450,4.166667,23.850791,0.42
451,4.138333,24.739116,0.42
452,4.006667,24.344929,0.42
453,2.833333,22.636767,0.42
454,2.185,21.671408,0.42
455,2.041667,20.397853,0.42
456,3.068333,1.231985,0.42
457,4.165,19.6497,0.42
458,5.245,19.195872,0.42
459,6.133333,18.579202,0.42
460,6.345,18.904449,0.42
461,7.713333,18.885529,0.42
462,8.355,18.944046,0.42
463,7.223333,18.85666,0.42
464,8.575,21.194548,0.42
465,11.001667,22.404989,0.42
466,11.295,23.568474,0.42
467,8.766667,24.334278,0.42
468,7.521667,24.80728,0.42
469,7.265,24.943289,0.42
470,5.561667,24.417487,0.42
471,5.23,23.616546,0.42
472,6.223333,23.868996,0.42
473,4.941667,26.081007,0.42
474,4.373333,38.523751,0.42
475,4.113333,32.148499,0.42
476,2.165,31.530468,0.42
477,2.61,36.993493,0.42
478,1.836667,35.461473,0.42
479,1.811667,33.474396,0.42
480,1.831667,30.953618,0.42
481,3.275,35.247375,0.42
482,6.566667,47.23348,0.42
483,9.071667,38.723161,0.42
484,9.16,33.819039,0.42
485,9.721667,39.532692,0.42
486,10.608333,57.752498,0.42
487,11.598333,50.424946,0.42
488,11.371667,114.86959,0.42
489,11.705,87.50113,0.42
490,12.045,70.498799,0.42
491,10.98,126.432618,0.42
492,10.785,144.092645,0.42
493,10.746667,115.231001,0.42
494,10.376667,54.903317,0.42
495,10.74,38.511947,0.42
496,11.805,48.251491,0.42
497,10.76,77.462475,0.42
498,10.268333,79.790131,0.42
499,9.128333,65.843362,0.42
500,12.318333,52.165966,0.42
501,14.618333,112.221245,0.42
502,13.585,71.456782,0.42
503,11.658333,54.094409,0.42
504,11.033333,50.627807,0.42
505,9.878333,92.554122,0.42
506,9.241667,103.989132,0.42
507,7.031667,64.598669,0.42
508,6.648333,73.920974,0.42
509,7.276667,52.076402,0.42
510,5.835,93.889713,0.42
511,4.701667,76.74092,0.42
512,2.16,99.371899,0.42
513,2.16,69.764998,0.42
514,2.16,35.600985,0.42
515,3.148,39.152474,0.42
516,3.03,30.559163,0.42
517,2.995,29.044507,0.42
518,2.623333,28.572797,0.42
519,2.623333,29.300466,0.42
520,2.623333,33.19372,0.42
521,4.6,45.300219,0.42
522,5.211667,82.991798,0.42
523,5.856667,40.793536,0.42
524,5.241667,40.027543,0.42
525,5.206667,47.768905,0.42
526,5.773333,38.696381,0.42
527,5.033333,33.568622,0.42
528,5.628333,36.484665,0.42
529,6.003333,42.534853,0.42
530,6.741667,39.232269,0.42
531,6.3,31.56581,0.42
532,7.236667,29.993804,0.42
533,6.753333,35.393768,0.42
534,6.56,39.787258,0.42
535,6.976667,48.893265,0.42
536,8.218333,48.533847,0.42
537,7.246667,38.281021,0.42
538,7.356667,33.064674,0.42
539,5.453333,23.498511,0.42
540,4.826667,24.482948,0.42
541,4.743333,25.423679,0.42
542,4.348333,24.852127,0.42
543,4.083333,23.920824,0.42
544,3.471667,23.666461,0.42
545,2.776667,23.924763,0.42
546,2.415,25.704239,0.42
547,3.37,25.637457,0.42
548,3.068333,25.267932,0.42
549,1.178333,24.942614,0.42
550,3.758333,24.20034,0.42
551,5.355,19.718238,0.42
552,6.746667,19.979792,0.42
553,8.108333,20.874996,0.42
554,10.583333,21.027179,0.42
555,11.465,21.213125,0.42
556,12.825,21.994612,0.42
557,16.825,22.839952,0.42
558,19.231667,24.331334,0.42
559,19.54,25.602347,0.42
560,19.218333,29.536053,0.42
561,18.936667,26.446454,0.42
562,19.298,24.873441,0.42
563,11.508,24.62744,0.42
564,11.558333,24.852686,0.42
565,8.106667,24.105545,0.42
566,7.026667,23.107991,0.42
567,11.246667,22.760871,0.42
568,12.483333,21.862564,0.42
569,12.078333,23.356932,0.42
570,14.073333,27.214555,0.42
571,14.095,25.210854,0.42
572,14.21,28.06367,0.42
573,16.145,26.392226,0.42
574,15.963333,23.403273,0.42
575,14.136667,21.652335,0.42
576,12.851667,20.747344,0.42
577,11.418333,21.41307,0.42
578,11.151667,22.162519,0.42
579,11.231667,22.540525,0.42
580,11.588333,23.184822,0.42
581,11.748333,23.755526,0.42
582,12.155,27.484265,0.42
583,12.336667,34.696028,0.42
584,12.333333,35.00383,0.42
585,11.215,42.76498,0.42
586,10.961667,31.949899,0.42
587,11.46,28.033467,0.42
588,8.956667,26.793317,0.42
589,8.063333,25.650165,0.42
590,6.133333,25.662844,0.42
591,5.103333,25.014085,0.42
592,5.573333,24.362725,0.42
593,4.643333,25.680963,0.42
594,4.05,29.03034,0.42
595,3.92,35.399956,0.42
596,4.535,31.679324,0.42
597,5.44,31.741951,0.42
598,6.793333,32.064799,0.42
599,6.98,29.177205,0.42
600,7.463333,26.489116,0.42
601,8.133333,33.940418,0.42
602,8.191667,28.418351,0.42
603,6.936667,28.52786,0.42
604,5.668333,28.949975,0.42
605,4.668333,31.766067,0.42
606,2.073333,32.009266,0.42
607,1.63,33.684851,0.42
608,3.191667,32.839798,0.42
609,4.381667,39.411748,0.42
610,5.845,29.590833,0.42
611,7.055,25.755231,0.42
612,7.24,26.156115,0.42
613,7.228333,24.520268,0.42
614,7.258333,23.222516,0.42
615,8.878333,23.115757,0.42
616,7.745,23.419262,0.42
617,5.368333,24.921607,0.42
618,4.335,28.809163,0.42
619,4.89,29.399005,0.42
620,6.6,27.769189,0.42
621,10.313333,26.530405,0.42
622,11.453333,23.936108,0.42
623,12.988333,25.133087,0.42
624,11.685,23.586772,0.42
625,12.193333,27.704274,0.42
626,13.373333,27.407695,0.42
627,15.353333,26.631527,0.42
628,15.97,24.51292,0.42
629,15.705,26.147024,0.42
630,14.853333,26.453006,0.42
631,13.538333,27.732213,0.42
632,13.5,28.462829,0.42
633,13.875,26.850558,0.42
634,13.5,25.616952,0.42
635,13.161667,24.697628,0.42
636,12.101667,24.254433,0.42
637,10.99,23.897487,0.42
638,11.531667,23.545655,0.42
639,13.018333,23.148268,0.42
640,12.27,23.621938,0.42
641,12.196667,23.230431,0.42
642,12.315,28.688751,0.42
643,11.878333,28.714903,0.42
644,11.725,26.465841,0.42
645,11.331667,26.230138,0.42
646,11.038333,25.431881,0.42
647,10.926667,23.118372,0.42
648,10.578333,21.376152,0.42
649,10.598333,21.375075,0.42
650,11.958333,21.686188,0.42
651,12.771667,22.225266,0.42
652,12.28,22.200381,0.42
653,11.788333,22.586343,0.42
654,12.295,26.353389,0.42
655,12.446667,36.235998,0.42
656,12.573333,33.033345,0.42
657,13.103333,29.464825,0.42
658,14.665,28.775348,0.42
659,13.556667,26.899711,0.42
660,12.518333,26.683206,0.42
661,12.79,25.36979,0.42
662,12.583333,23.943748,0.42
663,12.568333,23.289402,0.42
664,12.343333,23.23703,0.42
665,11.37,25.382736,0.42
666,11.616667,55.028313,0.42
667,12.205,54.903423,0.42
668,12.3,29.228617,0.42
669,11.741667,28.396354,0.42
670,11.596667,25.829568,0.42
671,11.845,24.633319,0.42
672,12.031667,23.262248,0.42
673,11.631667,24.755172,0.42
674,10.951667,24.406747,0.42
675,10.58,24.197395,0.42
676,10.166667,24.274186,0.42
677,9.35,24.654753,0.42
678,8.445,30.351337,0.42
679,7.9,34.052467,0.42
680,7.608333,36.097748,0.42
681,7.153333,29.66802,0.42
682,6.798333,28.734306,0.42
683,6.411667,30.164932,0.42
684,5.953333,28.898097,0.42
685,5.326667,29.12996,0.42
686,4.41,28.711134,0.42
687,3.631667,28.145017,0.42
688,2.651667,28.533065,0.42
689,1.62,28.710015,0.42
690,1.775,29.339742,0.42
691,2.12,31.16208,0.42
692,3.24,31.415485,0.42
693,4.115,30.655553,0.42
694,4.9025,29.964248,0.42
695,6.478333,26.271536,0.42
696,6.63,23.886663,0.42
697,7.056667,24.024898,0.42
698,7.546667,24.73238,0.42
699,7.58,24.638929,0.42
700,9.733333,25.04621,0.42
701,9.946667,26.433588,0.42
702,9.556667,28.546694,0.42
703,9.731667,35.763461,0.42
704,9.09,42.652279,0.42
705,8.161667,36.784565,0.42
706,8.6475,36.81594,0.42
707,9.296667,58.518221,0.42
708,10.388,47.814486,0.42
709,10.198333,55.81592,0.42
710,7.846667,46.753553,0.42
711,6.701667,35.645426,0.42
712,10.921667,34.715832,0.42
713,13.096667,46.100076,0.42
714,10.903333,96.19071,0.42
715,12.485,166.276296,0.42
716,12.718333,114.215824,0.42
717,12.951667,87.532972,0.42
718,13.666667,84.640007,0.42
719,16.048333,54.587772,0.42
720,17.44,50.376331,0.42
721,19.201667,55.795112,0.42
722,19.206667,143.272998,0.42
