datetime_beginning_utc,datetime_beginning_ept,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,row_is_current,version_nbr
1/1/2015 5:00,1/1/2015 0:00,34964545,DOM,,,ZONE,,28.11,31.104005,2.617449,0.376556,TRUE,1
1/1/2015 6:00,1/1/2015 1:00,34964545,DOM,,,ZONE,,27.83,31.420232,3.185171,0.405061,TRUE,1
1/1/2015 7:00,1/1/2015 2:00,34964545,DOM,,,ZONE,,27.24,30.037293,2.395373,0.40192,TRUE,1
1/1/2015 8:00,1/1/2015 3:00,34964545,DOM,,,ZONE,,26.44,28.223942,1.395859,0.388083,TRUE,1
1/1/2015 9:00,1/1/2015 4:00,34964545,DOM,,,ZONE,,26.83,29.088253,1.831059,0.427194,TRUE,1
1/1/2015 10:00,1/1/2015 5:00,34964545,DOM,,,ZONE,,27.11,30.290761,2.768829,0.411932,TRUE,1
1/1/2015 11:00,1/1/2015 6:00,34964545,DOM,,,ZONE,,28.48,32.602674,3.713879,0.408795,TRUE,1
1/1/2015 12:00,1/1/2015 7:00,34964545,DOM,,,ZONE,,29.17,33.64968,4.056995,0.422685,TRUE,1
1/1/2015 13:00,1/1/2015 8:00,34964545,DOM,,,ZONE,,29.15,33.281463,3.741611,0.389852,TRUE,1
1/1/2015 14:00,1/1/2015 9:00,34964545,DOM,,,ZONE,,28.81,32.235308,3.18857,0.236738,TRUE,1
1/1/2015 15:00,1/1/2015 10:00,34964545,DOM,,,ZONE,,28.05,30.719135,2.424642,0.244493,TRUE,1
1/1/2015 16:00,1/1/2015 11:00,34964545,DOM,,,ZONE,,27.21,29.383958,1.900887,0.273071,TRUE,1
1/1/2015 17:00,1/1/2015 12:00,34964545,DOM,,,ZONE,,26.67,28.086451,1.16982,0.246631,TRUE,1
1/1/2015 18:00,1/1/2015 13:00,34964545,DOM,,,ZONE,,26.11,27.355729,1.05549,0.190239,TRUE,1
1/1/2015 19:00,1/1/2015 14:00,34964545,DOM,,,ZONE,,25.77,26.861728,0.915267,0.176461,TRUE,1
1/1/2015 20:00,1/1/2015 15:00,34964545,DOM,,,ZONE,,25.75,26.59012,0.694844,0.145276,TRUE,1
1/1/2015 21:00,1/1/2015 16:00,34964545,DOM,,,ZONE,,26.65,27.422719,0.589751,0.182968,TRUE,1
1/1/2015 22:00,1/1/2015 17:00,34964545,DOM,,,ZONE,,31.75,34.472931,2.303553,0.419378,TRUE,1
1/1/2015 23:00,1/1/2015 18:00,34964545,DOM,,,ZONE,,31.4,33.761478,1.998498,0.36298,TRUE,1
1/2/2015 0:00,1/1/2015 19:00,34964545,DOM,,,ZONE,,30.84,33.051855,1.817165,0.39469,TRUE,1
1/2/2015 1:00,1/1/2015 20:00,34964545,DOM,,,ZONE,,30.53,32.316699,1.259597,0.527102,TRUE,1
1/2/2015 2:00,1/1/2015 21:00,34964545,DOM,,,ZONE,,28.64,30.045965,0.840755,0.56521,TRUE,1
1/2/2015 3:00,1/1/2015 22:00,34964545,DOM,,,ZONE,,26.78,27.93853,0.608559,0.549971,TRUE,1
1/2/2015 4:00,1/1/2015 23:00,34964545,DOM,,,ZONE,,25.9,26.716647,0.35799,0.458657,TRUE,1
1/2/2015 5:00,1/2/2015 0:00,34964545,DOM,,,ZONE,,24.24,25.576402,0.77629,0.560112,TRUE,1
1/2/2015 6:00,1/2/2015 1:00,34964545,DOM,,,ZONE,,23.63,24.869929,0.688092,0.551837,TRUE,1
